2048 Agent Evaluation Results
============================================================
Timestamp  : 2026-04-12 14:00:09
Agent      : td (weights=weights/td_ntuple.npz)
Games      : 100


── Summary ───────────────────────────────
  Total time   : 11.1s  (0.11s/game)
  Avg score    :     39,075
  Median score :     36,856
  Std dev      :     16,988
  Best score   :     88,196
  Worst score  :      7,800
  Avg moves    :       1967
  Median moves :       1928
  Win rate     :      80.0%  (80/100 reached 2048)

  Max tile distribution:
     4096 :  26.0%  (  26 games)  █████████████
     2048 :  54.0%  (  54 games)  ███████████████████████████
     1024 :  18.0%  (  18 games)  █████████
      512 :   2.0%  (   2 games)  █
──────────────────────────────────────────

  Score percentiles:
    p10 :     17,572
    p25 :     27,824
    p50 :     36,864
    p75 :     49,352
    p90 :     64,328
    p95 :     69,500
    p99 :     88,196

============================================================
Per-Game Results
============================================================
  Game       Score   Moves   Max Tile   Won
------  ----------  ------  ---------  ----
     1      67,756    3081      4,096   yes
     2      88,196    4076      4,096   yes
     3      68,648    3253      4,096   yes
     4      16,124     955      1,024      
     5      40,176    2112      2,048   yes
     6      40,228    2104      2,048   yes
     7      40,444    2125      2,048   yes
     8      51,360    2340      4,096   yes
     9      53,856    2514      4,096   yes
    10      36,068    1848      2,048   yes
    11      40,180    2109      2,048   yes
    12      71,780    3300      4,096   yes
    13      60,084    2781      4,096   yes
    14      34,636    1811      2,048   yes
    15      12,400     736      1,024      
    16      55,572    2528      4,096   yes
    17      55,640    2591      4,096   yes
    18      20,980    1244      1,024      
    19      32,768    1677      2,048   yes
    20      36,292    1888      2,048   yes
    21      17,572    1040      1,024      
    22      41,792    2203      2,048   yes
    23      43,364    2212      2,048   yes
    24      40,836    2065      2,048   yes
    25      35,692    1851      2,048   yes
    26      64,960    3023      4,096   yes
    27      40,792    2145      2,048   yes
    28      46,780    2085      4,096   yes
    29      13,912     835      1,024      
    30      70,152    3328      4,096   yes
    31      23,520    1208      2,048   yes
    32      35,264    1819      2,048   yes
    33      60,460    2795      4,096   yes
    34      32,172    1706      2,048   yes
    35      56,552    2592      4,096   yes
    36      17,480    1041      1,024      
    37      29,136    1519      2,048   yes
    38      49,352    2209      4,096   yes
    39      37,980    1986      2,048   yes
    40      40,428    2121      2,048   yes
    41      40,600    2129      2,048   yes
    42      73,312    3399      4,096   yes
    43      45,884    2387      2,048   yes
    44      26,724    1400      2,048   yes
    45      12,920     779      1,024      
    46      17,724    1043      1,024      
    47      46,196    2387      2,048   yes
    48      38,660    2047      2,048   yes
    49      21,812    1292      1,024      
    50      62,352    2916      4,096   yes
    51      47,212    2458      2,048   yes
    52      21,848    1285      1,024      
    53      61,384    2865      4,096   yes
    54      40,876    2074      2,048   yes
    55      46,080    2380      2,048   yes
    56      35,892    1848      2,048   yes
    57      63,156    3003      4,096   yes
    58      59,788    2755      4,096   yes
    59      19,364    1128      1,024      
    60      69,500    3251      4,096   yes
    61      26,088    1335      2,048   yes
    62      36,864    1939      2,048   yes
    63      36,848    1916      2,048   yes
    64      52,172    2401      4,096   yes
    65      45,928    2397      2,048   yes
    66      27,888    1468      2,048   yes
    67      17,836    1054      1,024      
    68      36,728    1913      2,048   yes
    69      12,804     770      1,024      
    70      45,676    2378      2,048   yes
    71      27,824    1453      2,048   yes
    72      36,396    1908      2,048   yes
    73      36,088    1849      2,048   yes
    74      26,036    1347      2,048   yes
    75      43,492    2221      2,048   yes
    76      18,400    1071      1,024      
    77      34,488    1770      2,048   yes
    78      19,608    1124      1,024      
    79      37,908    1985      2,048   yes
    80      18,228    1073      1,024      
    81      64,108    3028      4,096   yes
    82      36,776    1914      2,048   yes
    83      31,464    1673      2,048   yes
    84      28,168    1500      2,048   yes
    85      64,328    3026      4,096   yes
    86      22,440    1148      2,048   yes
    87      15,024     881      1,024      
    88      28,116    1472      2,048   yes
    89      64,504    3053      4,096   yes
    90      16,220     949      1,024      
    91      45,848    2378      2,048   yes
    92      29,668    1576      2,048   yes
    93       7,800     538        512      
    94      36,780    1902      2,048   yes
    95      53,264    2452      4,096   yes
    96      36,048    1851      2,048   yes
    97      30,076    1566      2,048   yes
    98      36,792    1918      2,048   yes
    99       9,960     692        512      
   100      40,188    2105      2,048   yes
